,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-agm,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-aura,Python
55,ml-autofocusformer,Python
56,ml-autofocusformer-segmentation,Python
57,ml-batchquant,Python
58,ml-behavioral-testing-for-mt,
59,ml-calibration,Jupyter Notebook
60,ml-capsules-inverted-attention-routing,Python
61,ml-cifar-10-faster,Python
62,ml-code-switched-speech-translation,Python
63,ml-codeswitching-translations,
64,ml-collegial-ensembles,Python
65,ml-core,Python
66,ml-covid-mobility,R
67,ml-cread,Python
68,ml-cvnets,Python
69,ml-cvpr2019-swd,Python
70,ml-dab,Python
71,ml-data-parameters,Python
72,ml-delphi,
73,ml-destseg,Python
74,ml-direct2.5,Python
75,ml-dms-dataset,Python
76,ml-dprecs,Jupyter Notebook
77,ml-dr,Python
78,ml-duet,Python
79,ml-entity-deduction-arena,Python
80,ml-entropy-reconstruction,Python
81,ml-envmapnet,Python
82,ml-equivariant-neural-rendering,Jupyter Notebook
83,ml-facelit,Python
84,ml-famae,Python
85,ml-fastvit,Python
86,ml-fct,Python
87,ml-ferret,Python
88,ml-finerecon,Python
89,ml-flair,Jupyter Notebook
90,ml-gaudi,
91,ml-gendered-translation,Ruby
92,ml-gmpi,Python
93,ml-gsn,Python
94,ml-hd-gist,Python
95,ml-heart-rate-models,Python
96,ml-hierarchical-confusion-matrix,TypeScript
97,ml-hugs,Python
98,ml-hypersim,Python
99,ml-interspeech2022-phi_rtn,
100,ml-jointnet,Python
101,ml-key-retrieval-code-tasks,Python
102,ml-keyframer,JavaScript
103,ml-kge,Python
104,ml-knowledge-conflicts,Python
105,ml-live-pose,
106,ml-llarp,Python
107,ml-lucid-datagen,Python
108,ml-mdm,Python
109,ml-mgie,Python
110,ml-mia-bench,Jupyter Notebook
111,ml-MixupMP,Python
112,ml-mkqa,Python
113,ml-mobileclip,Python
114,ml-mobileone,Swift
115,ml-mofi,Python
116,ml-multiple-futures-prediction,Python
117,ml-ncg,Python
118,ml-neilf,Python
119,ml-neilfpp,Python
120,ml-neuman,Python
121,ml-no-token-left-behind,Jupyter Notebook
122,ml-np-rasp,Python
123,ml-nvas3d,Python
124,ml-ogen,Python
125,ml-pgdvs,Python
126,ml-planner,Python
127,ml-pointconvformer,Python
128,ml-pointersect,Python
129,ml-probabilistic-attention,Python
130,ml-projunit,Python
131,ml-qrecc,Python
132,ml-quant,Python
133,ml-recurrent-drafter,Python
134,ml-reed,Python
135,ml-rlgrad,Python
136,ml-robust-expert-augmentations,Python
137,ml-rpm-bench,Python
138,ml-sad,Python
139,ml-sampleplan,Python
140,ml-selfcond,Python
141,ml-shuffling-amplification,Python
142,ml-sigma-reparam,Python
143,ml-slowfast-llava,Python
144,ml-spatial-librispeech,
145,ml-spin,Python
146,ml-stable-diffusion,Python
147,ml-stabledreamer,
148,ml-stuttering-events-dataset,Python
149,ml-superposition-prompting,Python
150,ml-symphony,Svelte
151,ml-tic-clip,Python
152,ml-toad,Python
153,ml-tract,Python
154,ml-transcript-translation-consistency-ratings,
155,ml-translate-vis,TypeScript
156,ml-tree-dst,Python
157,ml-tune-mode-convbn,Python
158,ml-tweak,Python
159,ml-upscale,Jupyter Notebook
160,ml-uwac,Python
161,ml-veclip,Jupyter Notebook
162,ml-vfi-smiff,Python
163,ml-vfm-kt,
164,ml-vision-transformers-ane,Python
165,music-feed-examples,Java
166,openjdk,Java
167,password-manager-resources,JavaScript
168,pfl-research,Jupyter Notebook
169,pkl,Java
170,pkl-evolution,
171,pkl-go,Go
172,pkl-go-examples,Go
173,pkl-intellij,Kotlin
174,pkl-jvm-examples,Groovy
175,pkl-k8s,Pkl
176,pkl-k8s-examples,
177,pkl-lang.org,JavaScript
178,pkl-lsp,Kotlin
179,pkl-neovim,Scheme
180,pkl-package-docs,Kotlin
181,pkl-pantry,Pkl
182,pkl-project-commons,
183,pkl-spring,Java
184,pkl-swift,Swift
185,pkl-swift-examples,Swift
186,pkl-vscode,TypeScript
187,pkl.tmbundle,
188,pytorch-speech-features,Python
189,rules_pkl,Starlark
190,sample-backyard-birds,Swift
191,sample-cloudkit-coredatasync,Swift
192,sample-cloudkit-encryption,Swift
193,sample-cloudkit-privatedb,Swift
194,sample-cloudkit-privatedb-sync,Swift
195,sample-cloudkit-queries,Swift
196,sample-cloudkit-sharing,Swift
197,sample-cloudkit-sync-engine,Swift
198,sample-cloudkit-tooling,JavaScript
199,sample-cloudkit-zonesharing,Swift
200,sample-food-truck,Swift
201,servicetalk,Java
202,swift-3-api-guidelines-review,Swift
203,swift-algorithms,Swift
204,swift-aoc-starter-example,Swift
205,swift-argument-parser,Swift
206,swift-asn1,Swift
207,swift-async-algorithms,Swift
208,swift-async-dns-resolver,Swift
209,swift-atomics,Swift
210,swift-cassandra-client,Swift
211,swift-certificates,Swift
212,swift-clang,C++
213,swift-clang-tools-extra,C++
214,swift-cluster-membership,Swift
215,swift-cmake-examples,CMake
216,swift-collections,Swift
217,swift-collections-benchmark,Swift
218,swift-compiler-rt,C
219,swift-corelibs-foundation,C
220,swift-corelibs-libdispatch,C
221,swift-crypto,C
222,swift-distributed-actors,Swift
223,swift-distributed-tracing,Swift
224,swift-distributed-tracing-baggage-core,Swift
225,swift-distributed-tracing-extras,Swift
226,swift-embedded-examples,Swift
227,swift-evolution-staging,Swift
228,swift-for-wasm-examples,Swift
229,swift-foundation,Swift
230,swift-foundation-icu,C
231,swift-getting-started-cli,Swift
232,swift-getting-started-package-library,Swift
233,swift-homomorphic-encryption,Swift
234,swift-homomorphic-encryption-protobuf,
235,swift-http-structured-headers,Swift
236,swift-http-types,Swift
237,swift-internals,HTML
238,swift-issues,
239,swift-libcxx,C++
240,swift-llbuild2,Swift
241,swift-lldb,C++
242,swift-llvm,LLVM
243,swift-log,Swift
244,swift-matter-examples,Swift
245,swift-metrics,Swift
246,swift-metrics-extras,Swift
247,swift-migration-guide,Markdown
248,swift-mmio,Swift
249,swift-nio,Swift
250,swift-nio-examples,Swift
251,swift-nio-extras,Swift
252,swift-nio-http2,Swift
253,swift-nio-imap,Swift
254,swift-nio-nghttp2-support,Swift
255,swift-nio-oblivious-http,Swift
256,swift-nio-ssh,Swift
257,swift-nio-ssl,C
258,swift-nio-ssl-support,Swift
259,swift-nio-transport-services,Swift
260,swift-nio-zlib-support,Swift
261,swift-numerics,Swift
262,swift-openapi-generator,Swift
263,swift-openapi-runtime,Swift
264,swift-openapi-urlsession,Swift
265,swift-playdate-examples,Swift
266,swift-protobuf,Swift
267,swift-protobuf-plugin,
268,swift-protobuf-test-conformance,
269,swift-sample-distributed-actors-transport,Swift
270,swift-service-context,Swift
271,swift-service-discovery,Swift
272,swift-standard-library-preview,Swift
273,swift-statsd-client,Swift
274,swift-string-processing-benchmarks,Swift
275,swift-system,Swift
276,swift-tools-support-async,Swift
277,swift-xcode-playground-support,Swift
278,swiftpm-on-llbuild2,Swift
279,tensor-visualizer,Svelte
280,tensorflow_macos,Shell
281,ToolSandbox,Python
282,tree-sitter-pkl,C
283,turicreate,C++
284,unityplugins,C#
285,VideoFlashingReduction,Mathematica
286,vqg-multimodal-assistant,Python
